observation_date,CPIAUCSL
01-01-2018,248.859
01-02-2018,249.529
01-03-2018,249.577
01-04-2018,250.227
01-05-2018,250.792
01-06-2018,251.018
01-07-2018,251.214
01-08-2018,251.663
01-09-2018,252.182
01-10-2018,252.772
01-11-2018,252.594
01-12-2018,252.767
01-01-2019,252.561
01-02-2019,253.319
01-03-2019,254.277
01-04-2019,255.233
01-05-2019,255.296
01-06-2019,255.213
01-07-2019,255.802
01-08-2019,256.036
01-09-2019,256.43
01-10-2019,257.155
01-11-2019,257.879
01-12-2019,258.63
01-01-2020,259.127
01-02-2020,259.25
01-03-2020,258.076
01-04-2020,256.032
01-05-2020,255.802
01-06-2020,257.042
01-07-2020,258.352
01-08-2020,259.316
01-09-2020,259.997
01-10-2020,260.319
01-11-2020,260.911
01-12-2020,262.045
01-01-2021,262.687
01-02-2021,263.579
01-03-2021,264.961
01-04-2021,266.614
01-05-2021,268.383
01-06-2021,270.654
01-07-2021,271.903
01-08-2021,272.676
01-09-2021,273.91
01-10-2021,276.55
01-11-2021,278.919
01-12-2021,280.845
01-01-2022,282.543
01-02-2022,284.5
01-03-2022,287.674
01-04-2022,288.561
01-05-2022,291.298
01-06-2022,294.957
01-07-2022,294.913
01-08-2022,295.097
01-09-2022,296.349
01-10-2022,298.007
01-11-2022,298.786
01-12-2022,298.832
01-01-2023,300.42
01-02-2023,301.45
01-03-2023,301.821
01-04-2023,302.845
01-05-2023,303.334
01-06-2023,304.014
01-07-2023,304.609
01-08-2023,306.082
01-09-2023,307.276
01-10-2023,307.696
01-11-2023,308.148
01-12-2023,308.741
01-01-2024,309.698
01-02-2024,310.967
01-03-2024,312.345
01-04-2024,313.023
01-05-2024,313.175
01-06-2024,313.044
01-07-2024,313.569
01-08-2024,314.062
01-09-2024,314.732
01-10-2024,315.631
01-11-2024,316.528
01-12-2024,317.604
