observation_date,FEDFUNDS
01-01-2019,2.4
01-02-2019,2.4
01-03-2019,2.41
01-04-2019,2.42
01-05-2019,2.39
01-06-2019,2.38
01-07-2019,2.4
01-08-2019,2.13
01-09-2019,2.04
01-10-2019,1.83
01-11-2019,1.55
01-12-2019,1.55
01-01-2020,1.55
01-02-2020,1.58
01-03-2020,0.65
01-04-2020,0.05
01-05-2020,0.05
01-06-2020,0.08
01-07-2020,0.09
01-08-2020,0.1
01-09-2020,0.09
01-10-2020,0.09
01-11-2020,0.09
01-12-2020,0.09
01-01-2021,0.09
01-02-2021,0.08
01-03-2021,0.07
01-04-2021,0.07
01-05-2021,0.06
01-06-2021,0.08
01-07-2021,0.1
01-08-2021,0.09
01-09-2021,0.08
01-10-2021,0.08
01-11-2021,0.08
01-12-2021,0.08
01-01-2022,0.08
01-02-2022,0.08
01-03-2022,0.2
01-04-2022,0.33
01-05-2022,0.77
01-06-2022,1.21
01-07-2022,1.68
01-08-2022,2.33
01-09-2022,2.56
01-10-2022,3.08
01-11-2022,3.78
01-12-2022,4.1
01-01-2023,4.33
01-02-2023,4.57
01-03-2023,4.65
01-04-2023,4.83
01-05-2023,5.06
01-06-2023,5.08
01-07-2023,5.12
01-08-2023,5.33
01-09-2023,5.33
01-10-2023,5.33
01-11-2023,5.33
01-12-2023,5.33
01-01-2024,5.33
01-02-2024,5.33
01-03-2024,5.33
01-04-2024,5.33
01-05-2024,5.33
01-06-2024,5.33
01-07-2024,5.33
01-08-2024,5.33
01-09-2024,5.13
01-10-2024,4.83
01-11-2024,4.64
01-12-2024,4.48
