observation_date,RSAFS
01-01-2019,490440
01-02-2019,491751
01-03-2019,499292
01-04-2019,499343
01-05-2019,504741
01-06-2019,505251
01-07-2019,509091
01-08-2019,512561
01-09-2019,509282
01-10-2019,510648
01-11-2019,514215
01-12-2019,515866
01-01-2020,515119
01-02-2020,515330
01-03-2020,468324
01-04-2020,401028
01-05-2020,478449
01-06-2020,518038
01-07-2020,526304
01-08-2020,530735
01-09-2020,541302
01-10-2020,539114
01-11-2020,533941
01-12-2020,538548
01-01-2021,559230
01-02-2021,544891
01-03-2021,603581
01-04-2021,608961
01-05-2021,605282
01-06-2021,611950
01-07-2021,601817
01-08-2021,605533
01-09-2021,609671
01-10-2021,618573
01-11-2021,624874
01-12-2021,619938
01-01-2022,631509
01-02-2022,638101
01-03-2022,651027
01-04-2022,660194
01-05-2022,659847
01-06-2022,666113
01-07-2022,659550
01-08-2022,663566
01-09-2022,661854
01-10-2022,668671
01-11-2022,659458
01-12-2022,651763
01-01-2023,680253
01-02-2023,672152
01-03-2023,665071
01-04-2023,670494
01-05-2023,673902
01-06-2023,677117
01-07-2023,678424
01-08-2023,684755
01-09-2023,689403
01-10-2023,686148
01-11-2023,685328
01-12-2023,686277
01-01-2024,680456
01-02-2024,685280
01-03-2024,687641
01-04-2024,687602
01-05-2024,692774
01-06-2024,692449
01-07-2024,698835
01-08-2024,697039
01-09-2024,703055
01-10-2024,708290
01-11-2024,711853
01-12-2024,717265
