observation_date,TWEXBGSMTH
2019-01-01,114.4425
2019-02-01,114.4130
2019-03-01,114.7835
2019-04-01,114.9037
2019-05-01,115.9574
2019-06-01,115.4271
2019-07-01,115.0776
2019-08-01,117.1004
2019-09-01,117.3239
2019-10-01,116.7463
2019-11-01,116.5595
2019-12-01,115.9096
2020-01-01,115.2794
2020-02-01,116.7105
2020-03-01,121.0227
2020-04-01,123.2803
2020-05-01,122.6150
2020-06-01,119.6766
2020-07-01,118.6900
2020-08-01,116.9453
2020-09-01,116.3431
2020-10-01,115.7798
2020-11-01,114.0984
2020-12-01,111.8992
2021-01-01,111.4873
2021-02-01,112.0171
2021-03-01,113.3366
2021-04-01,112.6323
2021-05-01,111.2123
2021-06-01,111.5777
2021-07-01,113.0633
2021-08-01,113.4025
2021-09-01,113.4438
2021-10-01,114.0635
2021-11-01,114.9898
2021-12-01,115.8045
2022-01-01,115.0373
2022-02-01,114.9977
2022-03-01,116.2908
2022-04-01,117.1688
2022-05-01,119.6962
2022-06-01,120.0257
2022-07-01,122.7512
2022-08-01,122.3177
2022-09-01,125.5946
2022-10-01,127.4806
2022-11-01,124.8527
2022-12-01,122.2343
2023-01-01,119.8101
2023-02-01,120.3084
2023-03-01,120.7450
2023-04-01,119.2451
2023-05-01,119.6293
2023-06-01,119.2969
2023-07-01,118.0492
2023-08-01,119.8564
2023-09-01,121.6455
2023-10-01,123.4971
2023-11-01,121.2221
2023-12-01,119.8331
2024-01-01,120.2274
2024-02-01,121.0659
2024-03-01,120.6588
2024-04-01,122.1428
2024-05-01,121.8583
2024-06-01,123.7095
2024-07-01,123.3824
2024-08-01,122.6137
2024-09-01,121.8849
2024-10-01,123.5953
2024-11-01,126.3113
2024-12-01,127.5758
